poiID,poiCat,poiLon,poiLat
1,Kiddie,-117.918438,33.810259
2,Spinning Ride,-81.579153,28.418532
3,Family,-117.918289,33.813458
4,Family,-117.918928,33.81368
5,Dark,-117.918697,33.813311
6,Ride,-117.919066,33.813159
7,Family,-117.918953,33.813375
8,Ride,-117.918704,33.813087
9,Family,-117.919165,33.813281
10,Family,-117.919387,33.813168
11,Kiddie,-117.91919,33.813688
12,Roller Coaster,-117.917815,33.813041
13,Family,-117.918092,33.815176
14,Family,-117.923284,33.812115
15,Ride,-117.91653,33.812151
16,Family,-117.91801,33.812204
17,Roller Coaster,-117.917201,33.811348
18,Water,-117.920102,33.811403
19,Kiddie,-117.920544,33.811282
20,Dark,-117.92272,33.811469
21,Water,-117.918258,33.813651
22,Water,-117.92238,33.812616
23,Dark,-117.920221,33.811577
24,Water,-117.91681,33.812825
25,Water,-117.917526,33.814967
26,Family,-117.918961,33.812756
27,Ride,-117.917903,33.81203
28,Family,-117.918825,33.810704
29,Water,-117.920793,33.811231
30,Water,-117.920552,33.812255
31,Family,-117.921518,33.812491
