poiID,poiCat,poiLon,poiLat
1,Dark,-81.547502,28.373215
2,Water,-81.550743,28.37498
3,Ride,-81.55219,28.373551
4,Dark,-81.551674,28.372619
5,Water,-81.547279,28.371826
6,Show,-81.549399,28.369065
7,Water,-81.552158,28.374317
8,Show,-81.545974,28.369962
9,Ride,-81.546841,28.37399
10,Show,-81.551726,28.371887
11,Dark,-81.54942,28.375304
12,Family,-81.551228,28.375429
13,Show,-81.553001,28.36878
14,Show,-81.552301,28.374307
15,Show,-81.55246,28.370507
16,Show,-81.547876,28.374813
17,Show,-81.551558,28.370471
