poiID,poiCat,poiLon,poiLat
1,Roller Coaster,-81.578145,28.418752
2,Spinning Ride,-81.579111,28.418542
3,Ride,-81.579511,28.418219
4,Family,-81.579712,28.41841
5,Family,-81.579602,28.418568
6,Ride,-81.579269,28.419424
7,Spinning Ride,-81.57889,28.420293
8,Roller Coaster,-81.578548,28.420646
9,Ride,-81.580184,28.420127
10,Ride,-81.57968,28.421283
11,Family,-81.57906,28.421316
12,Water,-81.581992,28.420815
13,Dark,-81.582829,28.42089
14,Family,-81.581174,28.420139
15,Ride,-81.581901,28.420231
16,Show,-81.581657,28.41988
17,Family,-81.582281,28.419497
18,Family,-81.583499,28.419698
19,Roller Coaster,-81.584803,28.420313
20,Water,-81.584998,28.41915
21,Water,-81.584312,28.417911
22,Show,-81.583798,28.418719
23,Ride,-81.583481,28.418407
24,Water,-81.583504,28.417955
25,Family,-81.583047,28.418135
26,Family,-81.583203,28.418675
27,Family,-81.581199,28.41645
