userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10000151@N02,1,17,1445055661,1445055661,1,1,0
10004778@N07,2,7,1365918281,1365918281,1,1,0
10013542@N02,3,17,1429426348,1429426348,1,1,0
100344010@N06,4,24,1354336114,1354336114,1,1,0
100373287@N02,5,6,1407466438,1407466438,1,1,0
100373287@N02,6,25,1407496883,1407496883,1,1,0
100432722@N02,7,12,1434582533,1434582533,1,1,0
100448554@N06,8,22,1355980080,1355980080,1,2,0
100448554@N06,8,13,1355980147,1355980147,1,2,0
100448554@N06,9,19,1356079286,1356083474,2,2,4188
100448554@N06,9,16,1356087077,1356087077,1,2,0
100448554@N06,10,24,1356169614,1356169614,1,3,0
100448554@N06,10,12,1356132432,1356132432,1,3,0
100448554@N06,10,10,1356140843,1356140843,1,3,0
100459519@N02,11,24,1398077941,1398077941,1,1,0
10050886@N06,12,16,1344600391,1344600391,1,2,0
10050886@N06,12,12,1344569913,1344576943,2,2,7030
100548895@N03,13,7,1453792770,1453792770,1,1,0
100548895@N03,14,7,1453956474,1453956474,1,1,0
10055157@N02,15,17,1338365524,1338365524,1,2,0
10055157@N02,15,7,1338373675,1338373675,1,2,0
10055157@N02,16,12,1356693316,1356693316,1,1,0
10055157@N02,17,12,1357819194,1357819194,1,1,0
10055157@N02,18,23,1430294018,1430294018,1,2,0
10055157@N02,18,13,1430292770,1430292770,1,2,0
10055157@N02,19,7,1462935357,1462935357,1,2,0
10055157@N02,19,13,1462920696,1462920696,1,2,0
10062483@N05,20,8,1336354340,1336354340,1,3,0
10062483@N05,20,9,1336354777,1336354777,1,3,0
10062483@N05,20,2,1336354776,1336354776,1,3,0
100632664@N02,21,12,1467130154,1467130154,1,1,0
10079095@N04,22,12,1339140096,1339167648,2,4,27552
10079095@N04,22,13,1339139126,1339139469,3,4,343
10079095@N04,22,22,1339139966,1339139966,1,4,0
10079095@N04,22,4,1339160823,1339160823,1,4,0
100800732@N07,23,16,1405811865,1405811865,1,1,0
100800732@N07,24,10,1405858518,1405858518,1,1,0
10104403@N00,25,6,1252645595,1252651304,44,1,5709
10104403@N00,26,6,1252739690,1252748960,25,1,9270
10104403@N00,27,16,1313669418,1313669418,1,1,0
10104403@N00,28,24,1375990651,1375990651,1,1,0
10104914@N07,29,24,1191385160,1191385162,2,5,2
10104914@N07,29,7,1191390468,1191390468,1,5,0
10104914@N07,29,12,1191381339,1191381339,1,5,0
10104914@N07,29,16,1191385638,1191385668,3,5,30
10104914@N07,29,5,1191387753,1191387753,1,5,0
10106605@N07,30,20,1338524625,1338524625,1,7,0
10106605@N07,30,25,1338524848,1338524848,1,7,0
10106605@N07,30,19,1338525335,1338525560,10,7,225
10106605@N07,30,24,1338524507,1338524653,7,7,146
10106605@N07,30,6,1338525175,1338525175,1,7,0
10106605@N07,30,12,1338524426,1338524468,3,7,42
10106605@N07,30,15,1338524927,1338524927,1,7,0
10106605@N07,31,14,1351666577,1351666577,1,1,0
10106605@N07,32,24,1353991520,1353992218,9,1,698
101075959@N06,33,14,1376215636,1376215647,2,10,11
101075959@N06,33,4,1376215090,1376215110,2,10,20
101075959@N06,33,6,1376215745,1376215837,4,10,92
101075959@N06,33,7,1376209889,1376209889,1,10,0
101075959@N06,33,24,1376212154,1376212154,1,10,0
101075959@N06,33,16,1376211626,1376220515,11,10,8889
101075959@N06,33,25,1376212251,1376212315,4,10,64
101075959@N06,33,19,1376208176,1376208176,1,10,0
101075959@N06,33,23,1376211711,1376211711,1,10,0
101075959@N06,33,12,1376211996,1376218401,3,10,6405
101200606@N03,34,24,1387927191,1387927191,1,1,0
101200606@N03,35,16,1387964968,1387965310,2,1,342
101208631@N08,36,20,1381455452,1381455525,2,2,73
101208631@N08,36,16,1381473785,1381473785,1,2,0
10129939@N08,37,7,1335855819,1335855819,1,3,0
10129939@N08,37,18,1335850672,1335854415,7,3,3743
10129939@N08,37,11,1335857550,1335857550,1,3,0
10129939@N08,38,3,1336104829,1336104829,1,2,0
10129939@N08,38,11,1336106905,1336106911,2,2,6
10129939@N08,39,4,1336361039,1336361039,1,1,0
101312296@N05,40,18,1374673764,1374673764,1,1,0
101316071@N05,41,24,1396933717,1396933728,2,5,11
101316071@N05,41,19,1396939970,1396939979,3,5,9
101316071@N05,41,17,1396936216,1396936216,1,5,0
101316071@N05,41,22,1396933646,1396933646,1,5,0
101316071@N05,41,6,1396952747,1396957372,5,5,4625
101334634@N07,42,12,1383986193,1383986193,1,1,0
101355699@N08,43,16,1407744393,1407744520,3,8,127
101355699@N08,43,18,1407744979,1407759522,2,8,14543
101355699@N08,43,10,1407759559,1407759559,1,8,0
101355699@N08,43,19,1407742436,1407743378,3,8,942
101355699@N08,43,25,1407725312,1407734216,3,8,8904
101355699@N08,43,14,1407742314,1407742314,1,8,0
101355699@N08,43,24,1407725136,1407725136,1,8,0
101355699@N08,43,6,1407737630,1407737630,1,8,0
10136713@N00,44,18,1202870473,1202870669,2,2,196
10136713@N00,44,17,1202863893,1202863893,2,2,0
10152427@N08,45,24,1250508963,1250509016,2,2,53
10152427@N08,45,10,1250514107,1250514107,1,2,0
10152427@N08,46,23,1250951004,1250951004,1,1,0
101538895@N08,47,12,1423475632,1423475658,3,1,26
101593101@N02,48,13,1441008467,1441008467,1,2,0
101593101@N02,48,10,1441012344,1441012344,1,2,0
101593101@N02,49,7,1465356401,1465356401,1,10,0
101593101@N02,49,8,1465375882,1465375882,1,10,0
101593101@N02,49,22,1465371159,1465371549,2,10,390
101593101@N02,49,20,1465375028,1465375028,1,10,0
101593101@N02,49,14,1465344616,1465379887,4,10,35271
101593101@N02,49,24,1465335020,1465347714,9,10,12694
101593101@N02,49,12,1465353254,1465353254,1,10,0
101593101@N02,49,2,1465371669,1465371919,3,10,250
101593101@N02,49,6,1465375141,1465375141,1,10,0
101593101@N02,49,16,1465355557,1465355557,1,10,0
10182842@N08,50,3,1308374199,1308374263,3,9,64
10182842@N08,50,12,1308370127,1308370186,2,9,59
10182842@N08,50,4,1308370984,1308371262,3,9,278
10182842@N08,50,10,1308372054,1308372054,1,9,0
10182842@N08,50,24,1308370236,1308370289,2,9,53
10182842@N08,50,16,1308371772,1308374396,6,9,2624
10182842@N08,50,25,1308370307,1308370484,4,9,177
10182842@N08,50,20,1308371596,1308371596,1,9,0
10182842@N08,50,18,1308373278,1308374111,12,9,833
10182842@N08,51,11,1309746121,1309746121,1,9,0
10182842@N08,51,3,1309749582,1309753192,10,9,3610
10182842@N08,51,6,1309744093,1309744206,3,9,113
10182842@N08,51,16,1309744426,1309774856,15,9,30430
10182842@N08,51,25,1309743711,1309774098,17,9,30387
10182842@N08,51,19,1309774443,1309774706,5,9,263
10182842@N08,51,17,1309755563,1309775359,4,9,19796
10182842@N08,51,7,1309746293,1309747938,8,9,1645
10182842@N08,51,18,1309748095,1309748095,1,9,0
10182842@N08,52,12,1310096925,1310122693,5,4,25768
10182842@N08,52,16,1310120154,1310120229,4,4,75
10182842@N08,52,19,1310120300,1310120321,2,4,21
10182842@N08,52,17,1310097388,1310121509,9,4,24121
10182842@N08,53,8,1310795022,1310795052,2,4,30
10182842@N08,53,15,1310814973,1310814973,1,4,0
10182842@N08,53,16,1310795768,1310795768,1,4,0
10182842@N08,53,7,1310796088,1310806442,5,4,10354
10182842@N08,54,16,1310898870,1310906591,3,2,7721
