userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10004778@N07,1,26,1308270702,1308270702,1,2,0
10004778@N07,1,6,1308262550,1308262550,1,2,0
10004778@N07,2,6,1308631356,1308631356,1,1,0
10004778@N07,3,26,1355568624,1355568624,1,1,0
10004778@N07,4,29,1373030964,1373030964,1,1,0
10024109@N08,5,26,1283735402,1283753756,4,1,18354
100373287@N02,6,18,1407460054,1407461026,3,9,972
100373287@N02,6,6,1407461671,1407461671,1,9,0
100373287@N02,6,28,1407459897,1407459908,4,9,11
100373287@N02,6,21,1407462056,1407462072,3,9,16
100373287@N02,6,24,1407472411,1407472439,3,9,28
100373287@N02,6,20,1407460984,1407460984,1,9,0
100373287@N02,6,26,1407461302,1407477602,3,9,16300
100373287@N02,6,3,1407461827,1407461850,2,9,23
100373287@N02,6,30,1407463402,1407463463,2,9,61
100432722@N02,7,30,1379584100,1379589530,4,1,5430
100432722@N02,8,26,1431822642,1431822642,1,1,0
100432722@N02,9,21,1440162999,1440162999,1,1,0
100432722@N02,10,26,1447828035,1447828106,2,1,71
100448554@N06,11,29,1356064526,1356064526,1,6,0
100448554@N06,11,13,1356057534,1356058016,2,6,482
100448554@N06,11,19,1356064531,1356064695,4,6,164
100448554@N06,11,3,1356058289,1356058289,1,6,0
100448554@N06,11,20,1356066458,1356066462,2,6,4
100448554@N06,11,26,1356054155,1356054155,1,6,0
100448554@N06,12,20,1356176141,1356176141,1,2,0
100448554@N06,12,1,1356148029,1356148029,1,2,0
10055157@N02,13,26,1357819661,1357819661,1,3,0
10055157@N02,13,25,1357818322,1357818322,1,3,0
10055157@N02,13,29,1357819349,1357819349,1,3,0
10055157@N02,14,26,1389172537,1389172537,1,1,0
10055157@N02,15,7,1400213093,1400213093,1,1,0
10055157@N02,16,3,1462847579,1462847579,1,2,0
10055157@N02,16,5,1462857781,1462857781,1,2,0
10055157@N02,17,5,1462947575,1462947575,1,1,0
10062483@N05,18,15,1219741081,1219741081,1,1,0
10062483@N05,19,25,1260255084,1260255084,1,2,0
10062483@N05,19,28,1260257114,1260257114,1,2,0
10062483@N05,20,12,1336354341,1336354415,2,1,74
10062483@N05,21,15,1348450174,1348450174,1,2,0
10062483@N05,21,28,1348450175,1348450175,1,2,0
100632664@N02,22,26,1466604771,1466604771,1,1,0
100822654@N07,23,1,1389218207,1389218207,1,9,0
100822654@N07,23,14,1389213887,1389214140,3,9,253
100822654@N07,23,30,1389214040,1389214040,1,9,0
100822654@N07,23,28,1389218195,1389218195,1,9,0
100822654@N07,23,18,1389213977,1389213977,1,9,0
100822654@N07,23,17,1389214080,1389214080,1,9,0
100822654@N07,23,29,1389213960,1389214031,2,9,71
100822654@N07,23,20,1389213878,1389213987,2,9,109
100822654@N07,23,27,1389213865,1389213865,1,9,0
10084893@N02,24,27,1207731367,1207731367,1,2,0
10084893@N02,24,28,1207728112,1207728181,4,2,69
10084893@N02,25,28,1208051831,1208051834,2,1,3
100939753@N04,26,27,1392960174,1392960174,1,1,0
101006095@N07,27,29,1379392716,1379392716,1,1,0
10104403@N00,28,10,1252651318,1252685518,44,1,34200
10104403@N00,29,10,1252749467,1252758303,42,2,8836
10104403@N00,29,29,1252758364,1252758933,10,2,569
10104403@N00,30,18,1446047022,1446047022,1,1,0
10104914@N07,31,28,1191396957,1191396957,1,2,0
10104914@N07,31,23,1191397107,1191397107,1,2,0
101055171@N03,32,26,1401581906,1401622225,5,13,40319
101055171@N03,32,13,1401586727,1401586727,1,13,0
101055171@N03,32,27,1401578962,1401579038,2,13,76
101055171@N03,32,7,1401593786,1401593786,1,13,0
101055171@N03,32,28,1401621266,1401621273,3,13,7
101055171@N03,32,1,1401576129,1401582343,5,13,6214
101055171@N03,32,16,1401622216,1401622392,19,13,176
101055171@N03,32,5,1401581109,1401581109,1,13,0
101055171@N03,32,21,1401580251,1401593047,7,13,12796
101055171@N03,32,20,1401597658,1401597658,1,13,0
101055171@N03,32,14,1401601114,1401601114,1,13,0
101055171@N03,32,8,1401581573,1401581573,1,13,0
101055171@N03,32,29,1401596876,1401597647,2,13,771
101055171@N03,33,26,1403675021,1403675032,2,8,11
101055171@N03,33,13,1403674943,1403674969,3,8,26
