userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
100049423@N05,1,11,1376565773,1376565773,1,1,0
100063617@N06,2,11,1451012071,1451016962,2,1,4891
10008488@N07,3,17,1354153386,1354153386,1,1,0
10008488@N07,4,5,1354580494,1354580494,1,1,0
100214981@N03,5,11,1374451523,1374469888,145,1,18365
100214981@N03,6,11,1378167118,1378167118,1,1,0
100354657@N04,7,11,1363604909,1363604909,1,1,0
100363554@N07,8,11,1462850364,1462850364,1,1,0
100436193@N03,9,14,1419464468,1419464468,1,2,0
100436193@N03,9,4,1419466160,1419466160,1,2,0
100448554@N06,10,10,1371363018,1371363018,1,1,0
100459519@N02,11,15,1462770945,1462770945,1,2,0
100459519@N02,11,13,1462765469,1462765469,1,2,0
100459519@N02,12,2,1462941587,1462941587,1,1,0
10048675@N02,13,10,1233348588,1233348635,3,1,47
10048675@N02,14,13,1233531829,1233541814,9,3,9985
10048675@N02,14,8,1233528573,1233528655,2,3,82
10048675@N02,14,10,1233531817,1233545934,5,3,14117
10048675@N02,15,1,1234142295,1234142295,1,2,0
10048675@N02,15,10,1234144700,1234144700,1,2,0
10048675@N02,16,13,1234327057,1234337851,15,4,10794
10048675@N02,16,8,1234314519,1234324562,2,4,10043
10048675@N02,16,10,1234331502,1234331666,2,4,164
10048675@N02,16,6,1234316806,1234316806,1,4,0
10048675@N02,17,1,1234506689,1234511269,11,4,4580
10048675@N02,17,13,1234504968,1234505016,3,4,48
10048675@N02,17,9,1234508181,1234509657,4,4,1476
10048675@N02,17,11,1234513275,1234513285,2,4,10
100506822@N02,18,17,1387861379,1387861385,2,3,6
100506822@N02,18,15,1387860460,1387860498,2,3,38
100506822@N02,18,11,1387872225,1387881579,11,3,9354
100506822@N02,19,6,1388056931,1388056967,2,1,36
100523630@N04,20,13,1384847821,1384847960,2,2,139
100523630@N04,20,8,1384851704,1384851704,1,2,0
100524190@N04,21,8,1389855575,1389855575,1,1,0
10061441@N03,22,11,1229533072,1229533072,1,1,0
10061441@N03,23,13,1229627071,1229627071,1,1,0
100620414@N03,24,1,1461718283,1461718293,3,8,10
100620414@N03,24,17,1461724932,1461727442,10,8,2510
100620414@N03,24,13,1461723839,1461724519,5,8,680
100620414@N03,24,11,1461712118,1461713895,8,8,1777
100620414@N03,24,5,1461719152,1461729236,14,8,10084
100620414@N03,24,10,1461727727,1461727828,7,8,101
100620414@N03,24,8,1461719960,1461720581,7,8,621
100620414@N03,24,15,1461724800,1461727057,10,8,2257
100657680@N02,25,5,1395530058,1395530058,1,1,0
10068791@N08,26,11,1251425652,1251425652,1,2,0
10068791@N08,26,14,1251430414,1251430414,1,2,0
100692786@N04,27,11,1377225508,1377225508,1,1,0
100692786@N04,28,11,1394244306,1394244306,1,1,0
100692786@N04,29,17,1394928488,1394928488,1,1,0
100692786@N04,30,11,1400360079,1400360079,1,1,0
10076246@N06,31,11,1209662791,1209662791,1,1,0
100775193@N08,32,2,1389753952,1389753952,1,1,0
100775237@N03,33,11,1311389608,1311389608,1,1,0
100775237@N03,34,3,1341064800,1341064800,1,2,0
100775237@N03,34,11,1341064800,1341064800,2,2,0
100775237@N03,35,11,1372600800,1372600800,1,2,0
100775237@N03,35,14,1372600800,1372600800,1,2,0
100775237@N03,36,11,1405653257,1405654036,4,4,779
100775237@N03,36,4,1405645010,1405645010,1,4,0
100775237@N03,36,14,1405644303,1405644328,4,4,25
100775237@N03,36,3,1405644476,1405644615,7,4,139
100822654@N07,37,13,1400647105,1400647105,1,1,0
100822654@N07,38,4,1400733548,1400733548,1,2,0
100822654@N07,38,5,1400708131,1400732340,4,2,24209
100822654@N07,39,13,1400956813,1400956813,1,1,0
10084809@N04,40,11,1459820341,1459832742,2,1,12401
100948027@N07,41,8,1315281409,1315283279,6,2,1870
100948027@N07,41,13,1315296132,1315296132,1,2,0
101102803@N06,42,8,1344318648,1344318648,1,1,0
101118128@N08,43,17,1446957626,1446957626,1,1,0
101195207@N02,44,11,1467023380,1467023439,3,1,59
10128570@N04,45,17,1218858723,1218858748,3,3,25
10128570@N04,45,10,1218862691,1218864746,5,3,2055
10128570@N04,45,8,1218879135,1218879229,4,3,94
101355546@N05,46,5,1433557433,1433557433,1,1,0
101445497@N05,47,11,1222265010,1222272332,2,1,7322
101445497@N05,48,11,1316519128,1316519128,1,2,0
101445497@N05,48,9,1316493033,1316493033,1,2,0
101445497@N05,49,11,1316658792,1316658792,1,2,0
101445497@N05,49,9,1316662683,1316662683,1,2,0
101445497@N05,50,5,1353127016,1353127016,1,1,0
101445497@N05,51,1,1369545567,1369545567,1,2,0
101445497@N05,51,13,1369536010,1369536010,1,2,0
101445497@N05,52,5,1380793304,1380793304,1,4,0
101445497@N05,52,8,1380790923,1380792357,2,4,1434
101445497@N05,52,17,1380775831,1380775831,1,4,0
101445497@N05,52,9,1380770999,1380771671,2,4,672
101445497@N05,53,10,1380876245,1380876245,1,2,0
101445497@N05,53,9,1380883314,1380883314,1,2,0
101445497@N05,54,15,1389337291,1389337291,1,2,0
101445497@N05,54,3,1389334716,1389334716,1,2,0
101445497@N05,55,5,1433301323,1433306075,2,3,4752
101445497@N05,55,11,1433294694,1433294694,1,3,0
101445497@N05,55,13,1433319502,1433319502,1,3,0
101445497@N05,56,8,1452224936,1452224936,1,4,0
101445497@N05,56,11,1452234523,1452234943,2,4,420
101445497@N05,56,16,1452230529,1452230529,1,4,0
101445497@N05,56,4,1452220565,1452220565,1,4,0
101473404@N07,57,11,1388726894,1388751001,3,2,24107
101473404@N07,57,8,1388728274,1388728274,1,2,0
101473404@N07,58,10,1453642338,1453644329,5,5,1991
