userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10005149@N03,1,21,1273189220,1273189220,1,2,0
10005149@N03,1,19,1273196253,1273196253,1,2,0
10005149@N03,2,2,1273281442,1273281442,1,2,0
10005149@N03,2,4,1273291600,1273291600,1,2,0
100063617@N06,3,27,1450997221,1450997221,1,1,0
10008488@N07,4,27,1353816367,1353816609,2,4,242
10008488@N07,4,10,1353803001,1353803001,1,4,0
10008488@N07,4,14,1353805071,1353805071,1,4,0
10008488@N07,4,9,1353805944,1353805944,1,4,0
10008488@N07,5,23,1354149324,1354149324,1,1,0
10008488@N07,6,16,1354439014,1354439014,2,5,0
10008488@N07,6,18,1354439892,1354439892,1,5,0
10008488@N07,6,27,1354428271,1354450154,16,5,21883
10008488@N07,6,15,1354435579,1354436727,2,5,1148
10008488@N07,6,14,1354434439,1354435843,2,5,1404
10019322@N03,7,16,1257065143,1257065143,1,1,0
10024384@N04,8,16,1263720608,1263720608,1,2,0
10024384@N04,8,9,1263720566,1263720566,1,2,0
10024384@N04,9,6,1299204515,1299204515,1,2,0
10024384@N04,9,2,1299204970,1299204970,1,2,0
10024384@N04,10,24,1367998824,1367998824,1,1,0
10024384@N04,11,27,1381740690,1381744486,4,1,3796
100346942@N08,12,27,1376898876,1376898876,1,1,0
100354657@N04,13,27,1363422344,1363422344,1,1,0
100363554@N07,14,27,1471729077,1471729077,1,1,0
100436193@N03,15,17,1419315205,1419315205,1,4,0
100436193@N03,15,4,1419300133,1419300133,1,4,0
100436193@N03,15,3,1419305479,1419305479,1,4,0
100436193@N03,15,20,1419285841,1419286127,2,4,286
100448554@N06,16,14,1370860298,1370860298,1,3,0
100448554@N06,16,12,1370860322,1370860329,2,3,7
100448554@N06,16,13,1370860404,1370860404,1,3,0
100448554@N06,17,14,1370916583,1370929525,3,1,12942
100448554@N06,18,27,1371063855,1371063866,2,1,11
100448554@N06,19,27,1371108291,1371108291,1,1,0
100448554@N06,20,14,1371180587,1371215943,2,2,35356
100448554@N06,20,10,1371207566,1371207566,1,2,0
100448554@N06,21,14,1371395012,1371395012,1,1,0
