poiID,poiCat,poiLon,poiLat
1,UNK,116.32,39.98
2,UNK,116.31,39.98
3,UNK,116.3,39.98
4,UNK,116.29,40.0
5,UNK,116.31,39.99
6,UNK,116.32,39.99
7,UNK,116.32,40.0
8,UNK,116.32,40.01
9,UNK,116.37,39.91
10,UNK,116.38,39.91
11,UNK,116.39,39.91
12,UNK,116.39,39.9
13,UNK,116.39,39.89
14,UNK,116.36,39.89
15,UNK,116.35,39.89
16,UNK,116.34,39.89
17,UNK,116.34,39.9
18,UNK,116.33,39.9
19,UNK,116.31,39.91
20,UNK,116.3,39.92
21,UNK,116.31,39.92
22,UNK,116.32,39.92
23,UNK,116.33,39.99
24,UNK,116.33,40.0
25,UNK,116.3,40.01
26,UNK,116.3,40.0
27,UNK,116.31,40.0
28,UNK,116.31,40.01
29,UNK,116.33,39.98
30,UNK,116.33,39.97
31,UNK,116.29,40.01
32,UNK,116.31,39.97
33,UNK,116.32,39.96
34,UNK,116.32,39.95
35,UNK,116.32,40.02
36,UNK,116.33,40.01
37,UNK,116.3,39.99
38,UNK,116.31,40.02
39,UNK,116.34,39.98
40,UNK,116.34,39.99
41,UNK,116.35,39.99
42,UNK,116.36,39.99
43,UNK,116.37,39.99
44,UNK,116.38,39.99
45,UNK,116.39,39.99
46,UNK,116.4,39.99
47,UNK,116.41,39.99
48,UNK,116.41,39.98
49,UNK,116.42,39.98
50,UNK,116.42,39.99
51,UNK,116.43,39.99
52,UNK,116.44,39.98
53,UNK,116.45,39.98
54,UNK,116.46,39.97
55,UNK,116.47,39.97
56,UNK,116.48,39.98
57,UNK,116.49,39.99
58,UNK,116.5,40.0
59,UNK,116.51,40.01
60,UNK,116.52,40.02
61,UNK,116.53,40.02
62,UNK,116.55,40.03
63,UNK,116.56,40.03
64,UNK,116.58,40.03
65,UNK,116.59,40.03
66,UNK,116.6,40.03
67,UNK,116.61,40.03
68,UNK,116.61,40.04
69,UNK,116.61,40.05
70,UNK,116.6,40.05
71,UNK,116.59,40.05
72,UNK,116.58,40.06
73,UNK,116.58,40.07
74,UNK,116.59,40.08
75,UNK,116.58,40.08
76,UNK,116.58,40.05
77,UNK,116.57,40.04
78,UNK,116.54,40.02
79,UNK,116.46,39.98
80,UNK,116.44,39.99
81,UNK,116.28,40.0
82,UNK,116.27,40.0
83,UNK,116.27,39.99
84,UNK,116.26,40.0
85,UNK,116.29,39.99
86,UNK,116.29,39.98
87,UNK,116.32,39.97
88,UNK,116.41,39.91
89,UNK,116.4,39.91
90,UNK,116.38,39.9
91,UNK,116.37,39.9
92,UNK,116.36,39.9
93,UNK,116.35,39.9
94,UNK,116.35,39.91
95,UNK,116.35,39.92
96,UNK,116.35,39.93
97,UNK,116.34,39.93
